Manuscript Number,Current Status
PONE-D-15-13979R1,Completed Accept
PONE-D-15-13981,Completed Reject
PONE-D-15-13984,Completed Reject
PONE-D-15-13986R1,Completed Accept
PONE-D-15-13990R1,Completed Accept
PONE-D-15-13998R1,Completed Accept
PONE-D-15-14015R1,Completed Accept
PONE-D-15-14021R2,Completed Accept
PONE-D-15-14023,Completed Withdrawn
PONE-D-15-14040R1,Completed Accept
PONE-D-15-14047R1,Completed Reject
PONE-D-15-14051R2,Completed Accept
PONE-D-15-14055,Completed Reject
PONE-D-15-14073R1,Completed Reject
PONE-D-15-14085,Completed Reject
PONE-D-15-14099,Completed Withdrawn
PONE-D-15-14100R1,Completed Accept
PONE-D-15-14108R1,Completed Accept
PONE-D-15-14120,Completed Reject
PONE-D-15-14121R2,Completed Accept
PONE-D-15-14123R1,Completed Accept
PONE-D-15-14130,Completed Withdrawn
PONE-D-15-14135,Completed Reject
PONE-D-15-14136R1,Completed Accept
PONE-D-15-14138R3,Completed Accept
PONE-D-15-14140R1,Completed Accept
PONE-D-15-14141R2,Completed Accept
PONE-D-15-14158R1,Completed Accept
PONE-D-15-14165,Completed Reject
PONE-D-15-14169R3,Completed Accept
PONE-D-15-14175,Completed Reject
PONE-D-15-14191,Completed Reject
PONE-D-15-14203R2,Completed Accept
PONE-D-15-14206,Completed Reject
PONE-D-15-14210,Completed Reject
PONE-D-15-14216R1,Completed Accept
PONE-D-15-14217R3,Completed Accept
PONE-D-15-14220R2,Completed Accept
PONE-D-15-14231,Completed Withdrawn
PONE-D-15-14232,Completed Reject
PONE-D-15-14247,Completed Reject
PONE-D-15-14256,Completed Withdrawn
PONE-D-15-14258,Completed Reject
PONE-D-15-14263,Completed Reject
PONE-D-15-14264,Completed Reject
PONE-D-15-14266,Completed Reject
PONE-D-15-14267R1,Completed Accept
PONE-D-15-14272,Completed Reject
PONE-D-15-14273,Completed Withdrawn
PONE-D-15-14280R2,Completed Accept
PONE-D-15-14282R1,Completed Accept
PONE-D-15-14283,Completed Reject
PONE-D-15-14298R1,Completed Accept
PONE-D-15-14306R1,Completed Reject
PONE-D-15-14310,Completed Withdrawn
PONE-D-15-14333R2,Completed Accept
PONE-D-15-14337R1,Completed Accept
PONE-D-15-14338R1,Completed Accept
PONE-D-15-14348,Completed Reject
PONE-D-15-14368,Completed Reject
PONE-D-15-14373R2,Completed Accept
PONE-D-15-14378,Completed Reject
